ticket_id,Category,username,regno,dept,year,gmail,priority_level,issue_regarding,Comment
lQS5,Dhoni,839938,CHEM,Fourth Year(4th),dhoniking@gmail.com,High,Doubts related to the subjects,MAMA MARGAIYAAA......
0dNM,danush,3222222222,CSE,Third Year(3rd),cc,High,Doubts related to the subjects,ddddddddddddddddddddddddddddd
MfBN,bsbsbsnns,228992988,PY_VAR4,PY_VAR5,PY_VAR2,Medium,Grading inquiries,kooomkzjxn
5ykh,senthil,030189,EEE,4,senthil@gmail.com,High,Scholarship applications and queries,eeeedddd
MMhW,dhanush,2210030,IT,1,dkarcher@gmail.com,High,Doubts related to the subjects,hi i am dhanhhssusj
667f,dhanush,2210030,IT,1,dkarcher@gmail.com,High,Doubts related to the subjects,hi i am dhanhhssusj
PfVF,dhanush,2210030,IT,1,dkarcher@gmail.com,High,Doubts related to the subjects,hi i am dhanhhssusj
ex57,dhanush,2210030,MECH,2,bgsnh@gmail.com,Medium,Exam-related questions,quhgeygyudwjbsadhghqwghvhwdksjj/lshgdgydjdnjnjd
vhr1,dhanush,2210030,MECH,2,bgsnh@gmail.com,Medium,Exam-related questions,quhgeygyudwjbsadhghqwghvhwdksjj/lshgdgydjdnjnjd
mL1k,Dhanush,24353713,ECE,3,dhanush@gmail.com,High,Doubts related to the subjects, I have doubt related in syallabus for cat exam
duHw,Davlin,3122225002029,IT,2,davlin@gmail.com,Medium,Grading inquiries,I have to chage my grading
6X8E,Danesh,3456789,EEE,4,danesh@gmail.com,High,Scholarship applications and queries,i have doubt regarding in fill the form
puhc,Kumar,2123456,EEE,3,kumar@gmail.com,Medium,Grading inquiries,I have doubts.
xegC,vineeth,221029,CSE,4,vin@gmail.com,Medium,Exam-related questions,doubt
    sub6,Rajesh,4567234,EEE,3,rajesh@gmail.com,Medium,Exam-related questions,I have doubt related to the syllabus of upcoming cat exam
